sample_no,set_name,input_token,output_token,total_token
0,test,163,610,773
1,test,161,4175,4336
0,test,163,610,773
1,test,161,2951,3112
0,test,163,792,955
1,test,174,2454,2628
2,test,146,3840,3986
3,test,136,418,554
4,test,123,252,375
5,test,157,835,992
6,test,148,292,440
7,test,123,324,447
8,test,140,444,584
9,test,138,740,878
10,test,140,351,491
11,test,155,1500,1655
12,test,143,568,711
13,test,131,355,486
14,test,149,1910,2059
15,test,113,468,581
16,test,183,1139,1322
17,test,132,380,512
18,test,120,337,457
19,test,147,422,569
20,test,136,798,934
21,test,157,519,676
22,test,149,3541,3690
23,test,132,534,666
24,test,156,478,634
25,test,135,663,798
26,test,146,476,622
27,test,127,570,697
28,test,166,2770,2936
29,test,198,1399,1597
30,test,213,914,1127
31,test,139,2176,2315
32,test,122,324,446
33,test,136,536,672
34,test,140,448,588
35,test,125,411,536
36,test,130,312,442
37,test,127,2672,2799
38,test,179,362,541
39,test,159,331,490
40,test,121,888,1009
41,test,140,355,495
42,test,132,426,558
43,test,146,292,438
44,test,132,1825,1957
45,test,123,571,694
46,test,152,504,656
47,test,143,358,501
48,test,130,533,663
49,test,111,314,425
50,test,238,782,1020
51,test,130,292,422
52,test,120,489,609
53,test,130,317,447
54,test,158,481,639
55,test,152,756,908
56,test,151,555,706
57,test,126,902,1028
58,test,143,478,621
59,test,149,992,1141
60,test,150,451,601
61,test,134,504,638
62,test,141,446,587
63,test,121,168,289
64,test,128,561,689
65,test,127,419,546
66,test,127,574,701
67,test,141,1074,1215
68,test,152,269,421
69,test,142,387,529
70,test,149,311,460
71,test,130,285,415
72,test,141,2394,2535
73,test,136,331,467
74,test,132,546,678
75,test,121,515,636
76,test,158,348,506
77,test,126,215,341
78,test,159,660,819
79,test,129,301,430
80,test,134,368,502
81,test,130,1080,1210
82,test,135,566,701
83,test,134,2080,2214
84,test,146,827,973
85,test,153,374,527
86,test,129,818,947
87,test,132,282,414
88,test,117,1225,1342
89,test,125,286,411
90,test,190,1431,1621
91,test,137,652,789
92,test,136,632,768
93,test,144,473,617
94,test,130,315,445
95,test,167,596,763
96,test,134,401,535
97,test,143,335,478
98,test,156,334,490
99,test,135,335,470
100,test,144,766,910
101,test,153,1229,1382
102,test,154,425,579
103,test,118,301,419
104,test,245,673,918
105,test,123,485,608
106,test,161,4678,4839
107,test,142,488,630
108,test,137,382,519
109,test,124,310,434
110,test,130,325,455
111,test,151,2088,2239
112,test,167,832,999
113,test,123,284,407
114,test,112,266,378
115,test,197,2531,2728
116,test,142,384,526
117,test,177,525,702
118,test,123,228,351
119,test,168,739,907
120,test,122,456,578
121,test,148,3931,4079
122,test,166,2359,2525
123,test,163,437,600
124,test,137,1770,1907
125,test,172,3140,3312
126,test,165,634,799
127,test,124,244,368
128,test,152,544,696
129,test,160,391,551
130,test,130,273,403
131,test,120,349,469
132,test,179,923,1102
133,test,138,1111,1249
134,test,111,704,815
136,test,115,516,631
137,test,144,415,559
138,test,134,675,809
139,test,124,419,543
140,test,144,534,678
141,test,124,503,627
142,test,149,577,726
143,test,179,2698,2877
144,test,133,551,684
145,test,158,531,689
146,test,145,314,459
147,test,153,410,563
148,test,119,380,499
149,test,155,1629,1784
150,test,143,284,427
151,test,138,343,481
152,test,136,1156,1292
153,test,148,412,560
154,test,116,245,361
155,test,127,609,736
156,test,123,227,350
157,test,159,1161,1320
158,test,141,433,574
159,test,265,1888,2153
160,test,173,4921,5094
161,test,146,318,464
162,test,144,2251,2395
163,test,121,270,391
164,test,144,4010,4154
165,test,135,433,568
166,test,154,465,619
167,test,153,391,544
168,test,122,295,417
169,test,124,348,472
170,test,130,4137,4267
171,test,158,327,485
172,test,149,1266,1415
173,test,135,501,636
174,test,146,1291,1437
175,test,128,393,521
176,test,138,1570,1708
177,test,144,1106,1250
178,test,136,1509,1645
179,test,134,438,572
180,test,146,598,744
181,test,137,2342,2479
182,test,124,742,866
183,test,113,383,496
184,test,150,637,787
185,test,149,738,887
186,test,275,650,925
187,test,144,384,528
188,test,160,573,733
189,test,148,358,506
190,test,140,351,491
191,test,149,412,561
192,test,139,1306,1445
193,test,128,569,697
194,test,136,365,501
195,test,129,241,370
196,test,137,357,494
197,test,174,724,898
198,test,176,435,611
199,test,129,332,461
200,test,157,1182,1339
201,test,135,779,914
202,test,147,300,447
203,test,203,1679,1882
204,test,126,478,604
205,test,128,737,865
206,test,143,648,791
207,test,139,660,799
208,test,135,1052,1187
209,test,176,6348,6524
210,test,133,297,430
211,test,152,516,668
212,test,203,1216,1419
213,test,121,1828,1949
214,test,125,362,487
215,test,147,965,1112
216,test,118,266,384
217,test,145,1236,1381
218,test,168,710,878
219,test,109,227,336
220,test,154,415,569
221,test,131,709,840
222,test,146,375,521
223,test,120,823,943
224,test,133,533,666
225,test,115,349,464
226,test,140,1023,1163
227,test,172,368,540
228,test,161,852,1013
229,test,160,594,754
230,test,142,394,536
231,test,124,464,588
232,test,119,444,563
233,test,133,895,1028
234,test,134,620,754
235,test,191,844,1035
236,test,123,378,501
237,test,145,1028,1173
238,test,145,383,528
239,test,127,327,454
240,test,154,735,889
241,test,116,927,1043
242,test,131,390,521
243,test,136,504,640
244,test,133,476,609
245,test,147,495,642
246,test,139,492,631
247,test,117,320,437
248,test,128,318,446
249,test,142,247,389
250,test,131,352,483
252,test,145,846,991
253,test,264,541,805
254,test,131,332,463
255,test,117,748,865
256,test,134,298,432
257,test,142,291,433
258,test,136,440,576
259,test,128,1455,1583
260,test,138,597,735
261,test,142,521,663
262,test,137,328,465
263,test,131,794,925
264,test,155,826,981
265,test,133,357,490
266,test,121,318,439
267,test,167,3130,3297
268,test,136,412,548
269,test,153,564,717
270,test,122,297,419
271,test,141,369,510
272,test,133,560,693
273,test,133,284,417
274,test,125,364,489
